name,lat,lon
Düsseldorf,51.22422,6.780068
Duisburg,51.433259,6.765477
Essen,51.455843,7.012583
Krefeld,51.332637,6.56089
Mönchengladbach,51.194473,6.43161
Mülheim an der Ruhr,51.428107,6.88505
Oberhausen,51.470317,6.852291
Remscheid,51.179878,7.194356
Solingen,51.171718,7.085665
Wuppertal,51.271288,7.195874
Bedburg-Hau,51.76241,6.184726
Emmerich am Rhein,51.831485,6.242771
Geldern,51.517533,6.323569
Goch,51.674645,6.158868
Issum,51.534877,6.425912
Kalkar,51.737225,6.287776
Kerken,51.45652,6.374152
Kevelaer,51.58178,6.24718
Kleve,51.787781,6.138858
Kranenburg,51.789765,6.007969
Rees,51.759506,6.39621
Rheurdt,51.466922,6.469857
Straelen,51.444776,6.266608
Uedem,51.667761,6.272327
Wachtendonk,51.408082,6.343102
Weeze,51.626753,6.198205
Erkrath,51.218566,6.913114
Haan,51.192305,7.010639
Heiligenhaus,51.326038,6.966531
Hilden,51.168245,6.933705
Langenfeld (Rhld.),51.107416,6.948927
Mettmann,51.251915,6.978743
Monheim am Rhein,51.091865,6.892497
Ratingen,51.297037,6.849646
Velbert,51.340048,7.041629
Wülfrath,51.280989,7.033183
Dormagen,51.093432,6.841963
Grevenbroich,51.091192,6.583331
Jüchen,51.100795,6.503837
Kaarst,51.231804,6.614471
Korschenbroich,51.190965,6.515709
Meerbusch,51.261027,6.677859
Neuss,51.198873,6.691409
Rommerskirchen,51.034328,6.688992
Brüggen,51.242067,6.185264
Grefrath,51.336498,6.342117
Kempen,51.364493,6.418755
Nettetal,51.30812,6.275553
Niederkrüchten,51.19862,6.219216
Schwalmtal,51.214603,6.273039
Tönisvorst,51.320838,6.492628
Viersen,51.256856,6.389226
Willich,51.262542,6.550043
Alpen,51.575134,6.511241
Dinslaken,51.562266,6.734967
Hamminkeln,51.730832,6.589158
Hünxe,51.642308,6.766381
Kamp-Lintfort,51.500257,6.55139
Moers,51.453559,6.628027
Neukirchen-Vluyn,51.447044,6.573385
Rheinberg,51.545023,6.602755
Schermbeck,51.694332,6.873731
Sonsbeck,51.607521,6.376478
Voerde (Niederrhein),51.595566,6.684946
Wesel,51.65733,6.617306
Xanten,51.662258,6.453197
Bonn,50.734245,7.099187
Köln,50.938107,6.957068
Leverkusen,51.03245,6.979767
Aachen,50.773516,6.0848
Alsdorf,50.874052,6.161607
Baesweiler,50.906664,6.181166
Eschweiler,50.817431,6.266781
Herzogenrath,50.865711,6.089184
Monschau,50.555279,6.239288
Roetgen,50.648577,6.196427
Simmerath,50.606333,6.30057
Stolberg (Rhld.),50.771724,6.227418
Würselen,50.821466,6.13022
Aldenhoven,50.895696,6.281953
Düren,50.801678,6.482964
Heimbach,50.633398,6.480769
Hürtgenwald,50.723394,6.392832
Inden,50.846506,6.358038
Jülich,50.922697,6.357721
Kreuzau,50.74596,6.489241
Langerwehe,50.818168,6.360112
Linnich,50.978896,6.267275
Merzenich,50.828594,6.524672
Nideggen,50.69097,6.485187
Niederzier,50.886425,6.462259
Nörvenich,50.807107,6.644576
Titz,51.007289,6.428861
Vettweiß,50.739488,6.597533
Bedburg,50.994862,6.575238
Bergheim,50.955113,6.640252
Brühl,50.82949,6.902458
Elsdorf,50.936059,6.567973
Erftstadt,50.812197,6.811853
Frechen,50.909715,6.811192
Hürth,50.869481,6.865451
Kerpen,50.869982,6.694948
Pulheim,50.998416,6.800707
Wesseling,50.824083,6.979971
Bad Münstereifel,50.556858,6.765111
Blankenheim,50.439106,6.645162
Dahlem,50.386329,6.546603
Euskirchen,50.660933,6.786098
Hellenthal,50.490262,6.4342
Kall,50.542174,6.558667
Mechernich,50.588604,6.653673
Nettersheim,50.491983,6.627903
Schleiden,50.530044,6.47648
Weilerswist,50.755939,6.839629
Zülpich,50.691294,6.648155
Erkelenz,51.078671,6.314104
Gangelt,50.992732,5.997397
Geilenkirchen,50.964538,6.119722
Heinsberg,51.061906,6.094538
Hückelhoven,51.05634,6.226269
Selfkant,51.014228,5.902304
Übach-Palenberg,50.919252,6.118933
Waldfeucht,51.066007,5.988264
Wassenberg,51.099533,6.155749
Wegberg,51.140129,6.276829
Bergneustadt,51.021118,7.648337
Engelskirchen,50.988292,7.408515
Gummersbach,51.028326,7.568149
Hückeswagen,51.14861,7.334939
Lindlar,51.019717,7.376293
Marienheide,51.08374,7.531284
Morsbach,50.864325,7.727424
Nümbrecht,50.902351,7.540904
Radevormwald,51.203463,7.355144
Reichshof,50.988215,7.693856
Waldbröl,50.876593,7.617394
Wiehl,50.949871,7.547029
Wipperfürth,51.117041,7.398693
Bergisch Gladbach,50.992244,7.130608
Burscheid,51.085749,7.113704
Kürten,51.051583,7.264225
Leichlingen (Rhld.),51.106014,7.014244
Odenthal,51.032576,7.116919
Overath,50.933092,7.282487
Rösrath,50.895438,7.181947
Wermelskirchen,51.140138,7.216722
Alfter,50.736995,7.013472
Bad Honnef,50.643591,7.229126
Bornheim,50.762547,6.990342
Eitorf,50.769915,7.449515
Hennef (Sieg),50.775911,7.282575
Königswinter,50.676869,7.191597
Lohmar,50.839775,7.209401
Meckenheim,50.622043,7.022259
Much,50.905488,7.407202
Neunkirchen-Seelscheid,50.841143,7.334361
Niederkassel,50.811921,7.037503
Rheinbach,50.626425,6.947218
Ruppichteroth,50.843966,7.483618
Sankt Augustin,50.77333,7.185259
Siegburg,50.796665,7.2049
Swisttal,50.666197,6.893733
Troisdorf,50.812544,7.162309
Wachtberg,50.625511,7.135098
Windeck,50.800858,7.607304
Bottrop,51.523694,6.929939
Gelsenkirchen,51.510892,7.096064
Münster,51.961908,7.626804
Ahaus,52.076104,7.005037
Bocholt,51.837931,6.61564
Borken,51.844144,6.855071
Gescher,51.955894,7.005391
Gronau (Westf.),52.212285,7.019103
Heek,52.116177,7.111581
Heiden,51.82596,6.931789
Isselburg,51.833517,6.463264
Legden,52.030639,7.105517
Raesfeld,51.769328,6.84057
Reken,51.83183,7.047388
Rhede,51.840781,6.696075
Schöppingen,52.093571,7.235057
Stadtlohn,51.992602,6.918003
Südlohn,51.944322,6.865981
Velen,51.894372,6.986506
Vreden,52.036087,6.824021
Ascheberg,51.79173,7.624004
Billerbeck,51.977524,7.290998
Coesfeld,51.944948,7.166744
Dülmen,51.828537,7.279146
Havixbeck,51.975907,7.414407
Lüdinghausen,51.770372,7.443711
Nordkirchen,51.738183,7.525307
Nottuln,51.928018,7.352893
Olfen,51.708879,7.38
Rosendahl,52.016807,7.209896
Senden,51.857701,7.485434
Castrop-Rauxel,51.553877,7.310925
Datteln,51.653082,7.342615
Dorsten,51.660837,6.964689
Gladbeck,51.573424,6.992723
Haltern am See,51.743737,7.187214
Herten,51.59465,7.140236
Marl,51.658211,7.101811
Oer-Erkenschwick,51.639877,7.260829
Recklinghausen,51.614576,7.197544
Waltrop,51.622128,7.400687
Altenberge,52.045876,7.465557
Emsdetten,52.172195,7.527511
Greven,52.092652,7.613202
Hörstel,52.300221,7.587248
Hopsten,52.383026,7.602873
Horstmar,52.080812,7.305156
Ibbenbüren,52.275364,7.714734
Ladbergen,52.136598,7.737293
Laer,52.054322,7.357204
Lengerich,52.189765,7.85266
Lienen,52.146807,7.97575
Lotte,52.274892,7.915207
Metelen,52.144232,7.211686
Mettingen,52.315593,7.779092
Neuenkirchen,52.244641,7.37282
Nordwalde,52.084294,7.480649
Ochtrup,52.208516,7.18865
Recke,52.370571,7.718617
Rheine,52.279214,7.438651
Saerbeck,52.173086,7.633669
Steinfurt,52.125169,7.395195
Tecklenburg,52.219392,7.814244
Westerkappeln,52.314798,7.877587
Wettringen,52.209339,7.319404
Ahlen,51.762985,7.889882
Beckum,51.75574,8.042672
Beelen,51.930124,8.118191
Drensteinfurt,51.797048,7.741663
Ennigerloh,51.835127,8.024092
Everswinkel,51.925521,7.848037
Oelde,51.827467,8.146074
Ostbevern,52.036085,7.839408
Sassenberg,51.988098,8.041446
Sendenhorst,51.84466,7.82746
Telgte,51.982866,7.784022
Wadersloh,51.73696,8.245997
Warendorf,51.950713,7.988499
Bielefeld,52.020578,8.53212
Borgholzhausen,52.101931,8.300771
Gütersloh,51.909587,8.381067
Halle (Westf.),52.061011,8.362
Harsewinkel,51.963062,8.227621
Herzebrock-Clarholz,51.879791,8.240956
Langenberg,51.775971,8.320352
Rheda-Wiedenbrück,51.855343,8.293327
Rietberg,51.808062,8.427337
Schloß Holte-Stukenbrock,51.912069,8.656299
Steinhagen,52.006186,8.414975
Verl,51.882118,8.508286
